name,iou_fixed,iou_otsu,iou_adaptive,f1_fixed,f1_otsu,f1_adaptive,pr_auc
0036,0.16548481410368301,0.15570308405356242,0.15105511026581533,0.2839759250418878,0.26945170641483934,0.2624637324809442,0.19934948996492563
0037,0.050771626229378954,0.12174766813942071,0.14801910362526982,0.0966368427963161,0.21706783369803062,0.2578687116927723,0.1204722536239914
0038,0.08896357981338417,0.12886468055905517,0.1494762400663819,0.1633912859209302,0.2283084638545634,0.2600771287934576,0.14431688791116876
0039,0.09055523288397069,0.14439827187575632,0.1393627293208883,0.166071795638443,0.2523566758608898,0.24463276836158193,0.14417121678712697
0040,0.0989660848224406,0.15008357384326815,0.15856569686645447,0.18010762331838565,0.26099594369777745,0.27372758799146807,0.1605393739479155
0041,0.09494102374926455,0.20089478149998413,0.17469385623645525,0.1734176027566678,0.33457515944745037,0.29742873908636663,0.17698347919348056
0042,0.06742682165232983,0.13282923496566001,0.14055462979643307,0.1263352583701355,0.23450884010719678,0.24646715926534682,0.12819124442226432
0043,0.09865155913475045,0.16687604895619657,0.1804880166724557,0.1795866183677818,0.28602189427998265,0.305785427930413,0.16941539520975374
0044,0.03773759679869577,0.10975480207438025,0.16285951527783196,0.07273051861108631,0.19780009398332665,0.280101788974778,0.12052536122719672
0045,0.08364321788213118,0.13498877985699073,0.13893914294433063,0.15437409010984857,0.237868042843559,0.24397992430947948,0.13605957879706704
0046,0.15437596374001214,0.20066306419192315,0.1960763253008813,0.26746219358181406,0.33425374724419377,0.32786590814186867,0.23279717252613347
0047,0.028252962149313932,0.09655668609597332,0.15957942370399947,0.05495332994763848,0.176108882140403,0.2752367288378766,0.12006014629374409
0048,0.08118976191995915,0.16272227538779963,0.18620770302018774,0.15018596139087315,0.27989878379775135,0.3139546346665711,0.15977444131253152
0049,0.008059687744669091,0.10733687541042326,0.14446454319045746,0.015990497076023392,0.193864898377271,0.25245787482018345,0.10606502255758941
