dir,image_size,repo_id,transform,distance_metric,file,distance,distance_pos,complexity,is_real,expected_error,normalized_score
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0075.png,-0.01479339599609375,0.01479339599609375,0.1905517578125,False,0.05862956255322224,0.2523197402788862
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0076.png,-0.01358795166015625,0.01358795166015625,0.1868896484375,False,0.057881730245426866,0.23475372285074028
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0077.png,-0.005550384521484375,0.005550384521484375,0.0623779296875,False,0.03897318951841154,0.1424154550877158
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0078.png,-0.011962890625,0.011962890625,0.12176513671875,False,0.04641229872562677,0.2577525990625979
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0079.png,-0.00611114501953125,0.00611114501953125,0.1380615234375,False,0.04895736887812787,0.12482584664106525
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0080.png,-0.0196685791015625,0.0196685791015625,0.0989990234375,False,0.04322001926406599,0.4550802946521442
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0081.png,-0.01497650146484375,0.01497650146484375,0.174560546875,False,0.05544454770613094,0.2701167578140002
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0082.png,-0.0101318359375,0.0101318359375,0.1785888671875,False,0.056227198618127305,0.180194571070691
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0083.png,-0.00444793701171875,0.00444793701171875,0.07098388671875,False,0.03987272981138371,0.11155336072447336
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0084.png,-0.01544952392578125,0.01544952392578125,0.19140625,False,0.058805632948154274,0.2627218371988659
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0085.png,-0.01222991943359375,0.01222991943359375,0.049560546875,False,0.03774559242938357,0.3240092060145598
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0086.png,-0.0094757080078125,0.0094757080078125,0.17236328125,False,0.05502323385816811,0.1722128516153335
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0087.png,-0.01580810546875,0.01580810546875,0.0273284912109375,False,0.035934532056568866,0.4399140482437495
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0088.png,-0.014007568359375,0.014007568359375,0.06591796875,False,0.03933588907537181,0.35610148108092804
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0089.png,-0.01178741455078125,0.01178741455078125,0.10968017578125,False,0.044665020351931345,0.2639070677210954
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0090.png,-0.00978851318359375,0.00978851318359375,0.14208984375,False,0.04961992508311935,0.19726980980315492
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0091.png,-0.01364898681640625,0.01364898681640625,0.2293701171875,False,0.06723005013473374,0.2030191378565496
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0092.png,-0.00595855712890625,0.00595855712890625,0.1341552734375,False,0.048327548337530585,0.1232952494773857
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0093.png,-0.01148223876953125,0.01148223876953125,0.1971435546875,False,0.06000326532826203,0.1913602319259619
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0094.png,-0.007099151611328125,0.007099151611328125,0.09759521484375,False,0.04303703337616386,0.16495448348584368
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0095.png,-0.01497650146484375,0.01497650146484375,0.1932373046875,False,0.059184934924272466,0.2530458381682144
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0096.png,-0.01523590087890625,0.01523590087890625,0.1767578125,False,0.05586980507138063,0.2727036698882427
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0097.png,-0.0085601806640625,0.0085601806640625,0.0947265625,False,0.042668111159733846,0.20062244217974182
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0098.png,-0.00919342041015625,0.00919342041015625,0.1331787109375,False,0.048172040618325404,0.19084556709974473
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0099.png,-0.01026153564453125,0.01026153564453125,0.091064453125,False,0.04220691413621587,0.24312451773692415
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0100.png,-0.01357269287109375,0.01357269287109375,0.099609375,False,0.04330008041393567,0.31345652805590457
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0101.png,-0.00801849365234375,0.00801849365234375,0.12445068359375,False,0.046816782875055474,0.17127391418038032
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0102.png,-0.0113372802734375,0.0113372802734375,0.17626953125,False,0.05577496263686826,0.20326827195296682
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0103.png,-0.007598876953125,0.007598876953125,0.08544921875,False,0.04152102088601131,0.183012767773374
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0104.png,-0.01473236083984375,0.01473236083984375,0.18017578125,False,0.05653915487761087,0.2605691731992561
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0105.png,-0.01611328125,0.01611328125,0.043548583984375,False,0.03721602266820992,0.4329662359047312
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0106.png,-0.010345458984375,0.010345458984375,0.208251953125,False,0.062398509372928304,0.16579657251978194
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0107.png,-0.013702392578125,0.013702392578125,0.1131591796875,False,0.045155797090094624,0.30344703141406304
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0108.png,-0.01336669921875,0.01336669921875,0.10968017578125,False,0.044665020351931345,0.29926549038664024
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0109.png,-0.01171875,0.01171875,0.148193359375,False,0.05064905367151072,0.2313715489336301
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0110.png,-0.00913238525390625,0.00913238525390625,0.07989501953125,False,0.04086791918293896,0.2234609795773191
